"Country","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"FORMER SERBIA AND MONTENEGRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,25,21.56,21.32,20.544,19.58,18.26,17,20,18,16,15,16.612,15.58564384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORMER U.S.S.R.",8323.972603,8912.035616,9523.032877,10060,10602.93425,11105.11781,11384.21918,11705.93443,11850.06301,11911.92877,11971.75342,11860.74863,11584.74521,11894.82466,12050.16252,12053.43165,11715.09111,10975.04297,9992.004236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORMER YUGOSLAVIA",NA,NA,NA,NA,NA,NA,NA,88,88,89,87,84,90,87,90,87,77,72,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRANCE",NA,NA,NA,NA,NA,NA,NA,83,92,86,89,93,106,107,111,119,116,112,113,114,67.67671233,68.2165589,61.41372055,56.10120492,48.06578356,42.50703562,42.11794247,43.58504098,39.9727863,37.93161096,38.94263014,88.55348634,84.82229863,80.99742192,73.44918356,75.0559,69.55148493,126.4947315,121.271837,117.8228661,119.0561397,120.9454863,122.8958329,106.204289,110.2771851,116.3632238,99.63383575,105.5583306,107.9123999,106.4817654,106.9271975,NA
"FRENCH GUIANA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"FRENCH POLYNESIA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"GABON",150,202,223,223,222,209,203,175,151,156,157,157,172,166,155,159,208,269.9150685,293.9753425,297.6502732,295.9506849,344.4931507,368.6027397,371,375.9726027,356.4726027,318.2054795,275.5955027,261.9416603,256.2712795,273.5582274,272.949541,269.712,241.663,245.676,247.764612,241.9547671,245.3677123,240.8784247,229.69,219.648,219.669,213.0247671,210.5246721,198.5423151,195.5246164,201.4658219,173.3358798,174.7152686,195.4868329,203.9450207,NA
"GAMBIA, THE",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"GEORGIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,1,2,1.396,2.553,2.8,2.38,1.2,2.188,1.976,1.478,2.794,1.926,1.311,1.251386301,1.120835616,0.9799,0.99394,1,1,1.005667,1,1,0.794802055,0.39549,0.412373973,0.372404384,0.337360822,0.31283071,0.291052699,0.270956116,0.252092784,NA
"GERMANY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,132,80.12328767,76.36442192,76.27665753,72.76243716,73.47965753,75.63845479,75.4411589,85.82327049,85.53984384,91.23853425,94.61652329,167.8761749,145.7412548,157.0709315,143.9851397,152.0152672,148.3562068,205.3683,210.3131,203.2896,198.5905836,193.9047712,186.4336137,172.4824372,165.9146009,169.2988294,162.1298595,185.5801208,188.7047878,185.2228617,185.2435463,NA
"GERMANY, EAST",NA,NA,NA,NA,NA,NA,NA,-6.2,-6.6,-7,-5.6,3.9,0.6,1.1,1.8,2.2,2.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GERMANY, WEST",NA,NA,NA,NA,NA,NA,NA,124,108,117,129,140,148,148,143,155,149,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GHANA",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,0.2,0.09428577,0.0856578,-0.056671991,-0.041521985,0.2,1.2,NA,6,6,6.75136612,7,7,7,7,7,7,7,8.574,7.399,7.081,7.691,7.1769,6.7683,8.314141096,77.54802877,79.08139126,98.64722877,105.5749781,102.9400644,98.92695574,151.3358274,173.2359781,200.8592507,202.0483318,186.3590626,175.2579872,174.3099327,NA
"GIBRALTAR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"GREECE",NA,NA,NA,NA,NA,NA,NA,1,10,24,29,31,30,24,25,24,21,19,19,20,11.49315068,10.96256438,9.320547945,9.862565574,9.564383562,6.980821918,0.254794521,5.915300546,4.082191781,4.043287671,3.002739726,4.991344262,5.197978082,6.752021918,5.578523288,6.3828,5.709271233,9.802846575,8.707684932,10.33939891,10.21487534,10.65104384,10.61451233,13.29583115,13.11281507,15.67659863,16.0165726,13.98302077,14.51247979,14.3393126,14.56667615,NA
"GREENLAND",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"GRENADA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"GUADELOUPE",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"GUAM",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"GUATEMALA",NA,NA,NA,NA,NA,NA,NA,5,5,6,7,5,3,5.1,4,3,4,3.9,4.4,4.6,6,7,9.35,15,20,25,23,21,21,24.74794521,24.58082192,20.2431694,18.02,17.32,17.923,18.44139197,16.54077,14.97761904,14.97336986,14.60624885,13.99899452,14.06737356,12.56789699,12.82802634,9.648205698,13.26256121,13.61860779,11.82472361,11.15616026,11.02927009,6.184003,NA
"GUINEA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"GUINEA-BISSAU",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"GUYANA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.273972603,74.6189071,116.9130192,289.5947726,391.3876904,NA
"HAITI",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"HAWAIIAN TRADE ZONE",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,-0.07457016,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HONDURAS",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.014579456,-0.008043682,-0.013075576,-0.06146015,-0.1,-0.1,-0.095007036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.001,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,NA
"HONG KONG",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.08,0.58,0.1,0.3,2.1,0.071,0.071,0.096,0.096,0.096,0.096,0.096,0.096,0.096,NA
"HUNGARY",NA,NA,NA,NA,NA,NA,NA,58,58,62,61,63,63,64,60,65,54,58,49,49,55.7369863,38.07945205,54.23293699,59.15293989,51.8713726,41.53012055,39.26694521,38.87650273,39.16165479,37.72877534,43.56457808,46.99938798,37.76809589,37.61134247,33.06520822,37.53333497,34.6990589,34.62242329,30.72528219,33.85487158,35.3886,30.01249041,33.1453,36.66363333,38.44027808,39.73092192,39.52169589,37.04590437,39.30469505,39.27881093,40.16651315,NA
"ICELAND",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"INDIA",NA,NA,NA,NA,NA,NA,NA,186,329,395,485,525,626,646,627,655,724,682,639,602,543.4849315,730.6605479,805.6596055,761.0115191,787.7265589,769.7075863,771.0301534,769.9690492,768.0077123,794.5258219,800.9086164,849.7867951,832.5126164,866.692589,893.5561808,873.7709328,867.793811,951.4215493,992.0966603,998.6838142,993.5948932,990.3166219,994.5459342,980.6698393,986.1620798,985.6854096,957.0704353,885.9262232,905.3633125,920.3791153,912.1467298,NA
"INDONESIA",NA,NA,NA,NA,NA,NA,NA,1659,1712,1431,1448,1498,1380,1426,1370,1369,1481,1537,1666,1577,1592.736986,1671.764,1662.678,1654.606,1633.372,1598.845,1540.487,1447.447,1375.502,1280.288567,1175.688,1119.739,1099.906753,1035.245,984.736,1022.958552,1001.656748,1013.360741,985.2394205,957.2503279,927.056789,909.1904,861.9437438,940.9991186,893.7166397,909.4651493,916.7774795,894.6906984,858.0648493,833.668177,881.2357216,NA
"IRAN",5861.432877,6021.879452,5349.890411,5883.065574,5662.90411,5241.882192,3168.068493,1661.967213,1379.956164,2213.838356,2439.756164,2174.31694,2250.474183,2034.986301,2298.057534,2240.030055,2809.873973,3087.998989,3311.999723,3429.098361,3698.767123,3662.287671,3701.712329,3717.964481,3671.449315,3705.010959,3572.150685,3759.699454,3775.024658,3509.843836,3958.739745,4168.41329,4198.72046,4260.255329,4365.406507,4177.480909,4177.604115,4271.964499,4266.265288,3594.787727,3354.36513,3486.822741,3555.551937,4438.250367,4779.400744,4558.912281,3281.936508,2990.473598,3457.531642,3660.556671,3992.47854,NA
"IRAQ",2017.821918,1971.008219,2261.980822,2414.986339,2347.882192,2563.010959,3477.024658,2514.23224,999.9013699,1012.10137,1005.068493,1209.016393,1433.150685,1690.054795,2078.794521,2684.959016,2897.147945,2039.999827,305.0002466,425,483,530.9726027,555,581.510929,1161.550685,2127.172603,2535.808219,2582.026216,2377.122556,2032.306077,1334.969677,2006.952191,1833.227753,1920.865397,2112.818759,2384.721399,2399.743096,2434.745526,2661.644384,3014.009333,3081.923562,3428.006096,4123.103822,4530.191393,4518.889932,4680.76089,4783.264863,4151.775579,4149.022058,4553.356668,4423.970262,NA
"IRELAND",NA,NA,NA,NA,NA,NA,NA,-0.6,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.074430137,-0.2,-0.2,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.153,-0.051,-0.182,-0.557,-0.413,-0.256,1.261,0.276,0.5732,0.4,0.419,0.21,0.308,0.414,0.5406,0.7704,0.7611,0.77615484,0.773742709,0.778002028,NA
"ISRAEL",NA,NA,NA,NA,NA,NA,NA,35,36,1,1,1,1,1.6,1.4,1.5,0.8,0.9,-0.054707786,0.1,NA,0.504109589,1,1,1,1,1,NA,NA,NA,NA,5.951,3.709,3.972,4.768,5.3504,5.3563,5.0783,5.1218,5.9913,5.4753,5.7155,5.2192,4.7322,5.4707,6.2118,6.6105,8.3036,8.800413885,9.719812737,20.85446084,NA
"ITALY",NA,NA,NA,NA,NA,NA,NA,68,68,65,78,82,84,67,85,109,102,109,104,112,86.27945205,88.08775068,96.32325753,103.5956475,113.3752932,108.0767726,86.14247397,77.97545628,64.16438356,84.87668493,90.42191781,152.869112,160.7713836,158.244263,162.4156027,162.3997486,139.6970123,166.5125795,156.7248822,151.8888131,181.0267425,175.6958712,181.3312589,142.8987634,128.7358205,143.1357808,123.5097712,152.2288519,146.7919775,131.3605042,151.6989361,NA
"JAMAICA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.7,-0.4,-0.4,-0.5,-0.6,-0.4,-0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.507,1.842,4.585,4.346,5.734,6.102,1.277,2.312,2.354,2.345,2.455,-0.714,0.935,-0.721,-0.73,-0.74,-0.7,2.234555963,2.24506582,2.227294152,NA
"JAPAN",NA,NA,NA,NA,NA,NA,NA,40,38,44,39,46,51,52,55,60,63,67,77,82,18.31506849,18.73972603,18.73150685,21.10953279,18.82191781,17.98082192,17.06849315,17.47213115,17.73972603,14.73150685,16.89315068,123.3892678,128.6466548,128.9545452,132.5565863,129.3512383,121.9766658,123.3259096,114.4336315,106.1802372,110.5149534,107.5159849,110.8834753,95.86183279,102.9029534,98.15813973,101.2574274,95.94632732,103.5730304,100.949399,102.5879659,NA
"JORDAN",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.2,0.7,0.8,0.5,0.6,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.364,-0.259,-0.128,0.088,0.678,0.5339,0.1414,0.409,0.3596,0.2972,0.4094,0.3174,0.3085,0.3184,0.322,0.3262,0.3095,0.336632164,0.332219208,0.33956901,NA
"KAZAKHSTAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,486.7123288,406.8633699,423.3181808,453.7515246,521.8676301,525.1751808,612.6549945,717.7861612,822.2519836,975.9779562,1064.826033,1247.088393,1297.012542,1366.632663,1420.383077,1430.716317,1540.768759,1608.09836,1636.886285,1605.00361,1657.654933,1719.022647,1750.679411,1697.516454,1879.225136,1965.466827,1965.877634,1859.555786,1863.563248,1829.3171,1957.422987,NA
"KENYA",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,-0.1,-0.08071099,-0.083132248,-0.028697183,-0.1,-0.1,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.263,-0.161,-0.318,-0.136,-0.155,-0.144,0.3758,0.398,0.462,0.6626,0.8433,0.8325,0.8334,-0.0298,-0.0301,-0.0305,-0.0289,-0.031600244,-0.031167997,-0.031904851,NA
"KIRIBATI",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"KOSOVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KUWAIT",3019.975342,2546.342466,2083.684932,2145.155738,1968.931507,2131.030137,2500.057534,1656.125683,1125.189041,822.9726027,1064.032877,1156.644809,1022.578082,1419.019178,1584.950685,1491.576503,1783.115068,1174.999855,189.9997151,1058.382057,1762.717808,1921.109589,1934.287671,1911.639344,1951.232877,1926.30411,1768.057534,1879.590164,1837.868493,1726.041096,1994.750685,2180.525164,2560.89789,2630.591918,2566.698452,2727.92291,2504.671397,2449.248959,2716.690726,2833.816355,2899.821,2891.949795,3060.352233,3163.092475,3025.003164,3058.648096,3017.175438,2734.785251,2716.895738,3022.21535,2906.367629,NA
"KYRGYZSTAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1.747945205,1.753424658,2,1.995,1.694,2.3,1.5,1.5,1.5,1.51,1.37,1.411726776,2.128484932,1.315772603,1.17489589,0.9453,1,0.966,0.9632,0.9684,0.9643,1.005456,0.9783,0.9789,3.4781,3.9778,4.6775,4.7787,5.276728545,5.903028432,6.176487997,NA
"LAOS",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"LATVIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.5,0.9,1.2,1.186,1.229,1.9,1.429,1.581,1.249,0.922,1.595,1.595,1.595,1.595,1.595,1.595,1.595,NA
"LEBANON",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.6,-0.054641574,0.3,0.3,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"LESOTHO",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"LIBERIA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"LIBYA",2175.019178,1520.906849,1479.939726,1933.057377,2063.021918,1982.967123,2092.09863,1786.852459,1140.221918,1149.964384,1105.356164,1087.15847,1058.684932,1033.69863,971.8630137,1174.743169,1150.035616,1375.000252,1483.150685,1432.99208,1399.589041,1390.082192,1431.589041,1442.213115,1482.657534,1533.082192,1438.441096,1471.29235,1424.616438,1376.136986,1482.657534,1608.941388,1720.599658,1819.508342,1824.155,1941.498333,1845.09431,1845.073,521.8751644,1547.751426,1046.092949,576.1498082,492.9736027,478.7167923,912.880411,1045.936904,1192.635233,417.0947705,1251.737044,1076.834582,1244.349453,NA
"LITHUANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.411,9.833,8.375,7.619,9.8238,8.7729,9.1888,8.4324,8.7439,8.7847,8.3903,8.6091,8.2037,8.6949,8.8007,8.7603,8.5016,8.920446428,8.85251954,8.973922898,NA
"LUXEMBOURG",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"MACAU",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"MADAGASCAR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.2,-0.088766473,-0.1,-0.073126895,-0.088408285,-0.1,-0.034724023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"MALAWI",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.327,0.345,0.345,0.345,0.345,0.431,0.517,0,0,0,0,0,0,0,NA
"MALAYSIA",NA,NA,NA,NA,NA,NA,NA,284,265,307,366,451,451,513,508,551,597,630,657,667,632.0356164,697.932,770.061,760.689,760.8440685,767.035,731.837,711.2865246,756.149263,804.4620849,832.9543233,803.5842295,790.8508356,749.6182192,751.7960932,759.3989809,718.0353096,731.371574,667.4353411,672.5986093,644.5055205,670.8242425,724.4397822,756.8867262,754.2847926,753.6529097,711.4266623,655.542492,608.6511466,602.6175687,597.1912496,NA
"MALDIVES",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"MALI",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"MALTA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04,0.04,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"MARTINIQUE",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.029178402,0.026517349,0.025351196,0.048894263,0.016772745,0.01854566,0.018159362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09,-0.078,-0.097,-0.081,-0.0844,-0.215,-0.207,-0.22,-0.225,-0.229,-0.25,-0.247,-0.24,-0.25,-0.253,-0.256,-0.242,-0.264824078,-0.260991531,-0.267135409,NA
"MAURITANIA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,-0.3,0.2,0.1,0.1,0.1,-0.046660225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,31.21369863,15.98630137,12.83333333,11.24521918,8.232232877,7.737641096,6.577076503,6.750410959,6.003005479,5.246575342,4.836065574,0,0,0,0,0,0,0,NA
"MAURITIUS",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.517,0.482,0.431,0.414,0.603,0.517,0.517,0,0,0,0,0,0,0,NA
"MEXICO",464.6986301,571.2821918,705.0547945,830.9262295,980.9561644,1209.024658,1461.241096,1936.199454,2313.183562,2748.150685,2689.465753,2780.286885,2744.849315,2434.827397,2548.369863,2511.846995,2520.016438,2553.026433,2679.795433,2669.319792,3135.252055,3083.093321,3026.895611,3285.021383,3460.795277,3521.112044,3368.603575,3452.022484,3565.17891,3592.43317,3796.948244,3857.691757,3789.621162,3716.271151,3506.83966,3185.621225,2996.855584,2974.818644,2955.386274,2934.982157,2907.736407,2813.745173,2615.571618,2478.10068,2245.236012,2074.197923,1918.370701,1946.186339,1969.014066,2030.006079,2119.326228,NA
"MICRONESIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOLDOVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"MONGOLIA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.18,0.2,0.38,0.5,0.598,0.54,1.04,2.32,3.208,5.123,5.976,6.98329589,9.934508197,14.05149589,20.28802466,23.1765589,23.42622951,20,19.40886027,18.4625726,17.56216667,16.70334795,15.8877726,15.11177534,NA
"MONTENEGRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"MONTSERRAT",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"MOROCCO",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,-1.2,-0.060861756,0.2,-0.012583412,-0.7,-0.8,-0.8,1,1,1,1,1,1,0.258,0.279,0.216,0.13,0.236,3.89,-1.05,-1.247,-1.342,-0.566,-0.48,-0.613,-1.55,-0.781,-0.526,0.0836,0.5586,0.16,0.025,0.1,0.07,0.05,0.025,0.025,0.025,NA
"MOZAMBIQUE",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.02,0,0,0.02,0.03,0.04,0.16,0.282,0,0,0,0,0,0,0,NA
"NAMIBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"NAURU",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"NEPAL",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
